dapp,block,addresses
2022-09-MEVbadc0de, 15625424, 0x1E0447b19BB6EcFdAe1e4AE1694b0C3659614e4e
2022-10-EFLeverVault, 15746199, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xe39fd820B58f83205Db1D9225f28105971c3D309;0xBA12222222228d8Ba445958a75a0704d566BF2C8
2022-10-N00d, 15826379, 0x3561081260186E69369E6C32F280836554292E08;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x5476DB8B72337d44A6724277083b1a927c82a389;0x2321537fd8EF4644BacDCEec54E5F35bf44311fA
2022-10-OlympusDao, 15794363, 0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5;0x007FE7c498A2Cf30971ad8f2cbC36bd14Ac51156
2022-10-RabbyWallet_SwapRouter, 15724451, 0x6eb211CAF6d304A76efE37D9AbDFAdDC2d4363d1;0xdAC17F958D2ee523a2206206994597C13D831ec7;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2022-10-Templedao, 15725066, 0xBcB8b7FC9197fEDa75C101fA69d3211b5a30dCD9;0xd2869042E12a3506100af1D192b5b04D65137941
2022-10-Uerii, 15767837, 0x418C24191aE947A78C99fDc0e45a1f96Afb254BE;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xE592427A0AEce92De3Edee1F18E0157C05861564
2022-12-JAY, 16288199, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xf2919D1D80Aff2940274014bef534f7791906FF2
2022-12-Rubic, 16260580, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x3335A88bb18fD3b6824b59Af62b50CE494143333;0x33388CF69e032C6f60A420b37E44b1F5443d3333;0x677d6EC74fA352D4Ef9B1886F6155384aCD70D90
2023-01-QTN, 16430212, 0xC9fa8F4CFd11559b50c5C7F6672B9eEa2757e1bd;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xA8208dA95869060cfD40a23eb11F2158639c829B
